filename, language, JSON with Comments, Markdown, JSON, Properties, JavaScript, XML, C#, HTML, TypeScript, CSS, comment, blank, total
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-edit\member-edit.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 4, 21
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-edit\member-edit.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 309, 0, 0, 0, 21, 330
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-edit\member-edit.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-edit\member-edit.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 13, 138
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-list\member-list.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-list\member-list.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 9, 58
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-list\member-list.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-list\member-list.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 8, 62
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-messages\member-messages.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-messages\member-messages.component.html, HTML, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 2, 5, 59
c:\Users\danie\Desktop\Projekty\DatingApp\DatingApp\Dating-App-SPA\src\app\members\member-messages\member-messages.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
